Source.Name,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
transport_node_train_202312.csv,2023-12,WEEKDAY,5,TRAIN,DT7,135,80
transport_node_train_202312.csv,2023-12,WEEKDAY,11,TRAIN,PW5,2373,1381
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,11,TRAIN,PW5,2602,993
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,18,TRAIN,BP3,2231,2624
transport_node_train_202312.csv,2023-12,WEEKDAY,18,TRAIN,BP3,4593,10633
transport_node_train_202312.csv,2023-12,WEEKDAY,22,TRAIN,CC28,1226,4241
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,22,TRAIN,CC28,674,2531
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,13,TRAIN,SW6,2093,1590
transport_node_train_202312.csv,2023-12,WEEKDAY,13,TRAIN,SW6,3191,2739
transport_node_train_202312.csv,2023-12,WEEKDAY,17,TRAIN,DT21,11675,7868
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,17,TRAIN,DT21,4684,3952
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,33461,39561
transport_node_train_202312.csv,2023-12,WEEKDAY,19,TRAIN,NE12/CC13,64916,115544
transport_node_train_202312.csv,2023-12,WEEKDAY,6,TRAIN,EW31,4618,10669
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,6,TRAIN,EW31,2010,2769
transport_node_train_202312.csv,2023-12,WEEKDAY,15,TRAIN,EW7,10461,13913
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,15,TRAIN,EW7,8229,8933
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,23,TRAIN,CC23,447,364
transport_node_train_202312.csv,2023-12,WEEKDAY,23,TRAIN,CC23,1609,505
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,22,TRAIN,DT13,4091,4043
transport_node_train_202312.csv,2023-12,WEEKDAY,22,TRAIN,DT13,6297,5884
transport_node_train_202312.csv,2023-12,WEEKDAY,23,TRAIN,NE14,2315,19747
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1696,11964
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,22,TRAIN,NS9/TE2,16807,34518
transport_node_train_202312.csv,2023-12,WEEKDAY,22,TRAIN,NS9/TE2,26242,61265
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,12,TRAIN,DT22,4939,7607
transport_node_train_202312.csv,2023-12,WEEKDAY,12,TRAIN,DT22,6663,8893
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,18,TRAIN,DT28,7525,7491
transport_node_train_202312.csv,2023-12,WEEKDAY,18,TRAIN,DT28,34882,21644
transport_node_train_202312.csv,2023-12,WEEKDAY,12,TRAIN,DT34,4771,3256
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,12,TRAIN,DT34,2810,1625
transport_node_train_202312.csv,2023-12,WEEKDAY,9,TRAIN,SW7,3902,1064
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,9,TRAIN,SW7,2012,576
transport_node_train_202312.csv,2023-12,WEEKDAY,12,TRAIN,NE17/PTC,40061,37478
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,28805,23719
transport_node_train_202312.csv,2023-12,WEEKDAY,19,TRAIN,NE8,36217,59061
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,19,TRAIN,NE8,33374,33335
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,22,TRAIN,NS28,731,699
transport_node_train_202312.csv,2023-12,WEEKDAY,22,TRAIN,NS28,717,409
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,0,TRAIN,DT10/TE11,116,557
transport_node_train_202312.csv,2023-12,WEEKDAY,0,TRAIN,DT10/TE11,65,349
transport_node_train_202312.csv,2023-12,WEEKDAY,10,TRAIN,EW16/NE3/TE17,24623,33518
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,9821,10554
transport_node_train_202312.csv,2023-12,WEEKDAY,9,TRAIN,CC14,9885,6125
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,9,TRAIN,CC14,3745,2081
transport_node_train_202312.csv,2023-12,WEEKDAY,14,TRAIN,EW27,32052,33343
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,14,TRAIN,EW27,25652,24833
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2/TE20,11423,854
transport_node_train_202312.csv,2023-12,WEEKDAY,0,TRAIN,NS27/CE2/TE20,22,104
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,18,TRAIN,DT27,6002,5272
transport_node_train_202312.csv,2023-12,WEEKDAY,18,TRAIN,DT27,31487,17228
transport_node_train_202312.csv,2023-12,WEEKDAY,14,TRAIN,CC16,4189,4813
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3761,3090
transport_node_train_202312.csv,2023-12,WEEKDAY,10,TRAIN,EW11,18579,17196
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,10,TRAIN,EW11,11570,9451
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,1411,2579
transport_node_train_202312.csv,2023-12,WEEKDAY,6,TRAIN,NS24/NE6/CC1,2730,7495
transport_node_train_202312.csv,2023-12,WEEKDAY,22,TRAIN,TE15,6770,2877
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,22,TRAIN,TE15,3977,1705
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,0,TRAIN,EW19,220,1012
transport_node_train_202312.csv,2023-12,WEEKDAY,0,TRAIN,EW19,66,728
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,10,TRAIN,EW21/CC22,11005,9947
transport_node_train_202312.csv,2023-12,WEEKDAY,10,TRAIN,EW21/CC22,12059,21182
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,8,TRAIN,CC8,3748,2958
transport_node_train_202312.csv,2023-12,WEEKDAY,8,TRAIN,CC8,19867,9258
transport_node_train_202312.csv,2023-12,WEEKDAY,17,TRAIN,NE7/DT12,41308,32927
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,25915,29797
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,17,TRAIN,EW33,3683,2475
transport_node_train_202312.csv,2023-12,WEEKDAY,17,TRAIN,EW33,13064,6654
transport_node_train_202312.csv,2023-12,WEEKDAY,21,TRAIN,CC24,12591,2920
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,21,TRAIN,CC24,3490,1309
transport_node_train_202312.csv,2023-12,WEEKDAY,12,TRAIN,EW8/CC9,38850,52876
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,33846,39244
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,20,TRAIN,BP5,643,977
transport_node_train_202312.csv,2023-12,WEEKDAY,20,TRAIN,BP5,1360,2121
transport_node_train_202312.csv,2023-12,WEEKDAY,12,TRAIN,EW15,30615,35535
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,12,TRAIN,EW15,10564,14480
transport_node_train_202312.csv,2023-12,WEEKDAY,7,TRAIN,SW4,5593,975
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,7,TRAIN,SW4,723,337
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,22,TRAIN,DT33,2393,11520
transport_node_train_202312.csv,2023-12,WEEKDAY,22,TRAIN,DT33,3541,22814
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,24481,49066
transport_node_train_202312.csv,2023-12,WEEKDAY,11,TRAIN,EW24/NS1,34210,68123
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,21,TRAIN,NS13,22523,33142
transport_node_train_202312.csv,2023-12,WEEKDAY,21,TRAIN,NS13,41590,64299
transport_node_train_202312.csv,2023-12,WEEKDAY,5,TRAIN,NS13,23579,3676
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,5,TRAIN,NS13,6812,949
transport_node_train_202312.csv,2023-12,WEEKDAY,5,TRAIN,PW6,474,21
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,5,TRAIN,PW6,156,3
transport_node_train_202312.csv,2023-12,WEEKDAY,13,TRAIN,CC21,13100,8701
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,13,TRAIN,CC21,5959,6339
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,14,TRAIN,PE7,2364,2110
transport_node_train_202312.csv,2023-12,WEEKDAY,14,TRAIN,PE7,3186,3661
transport_node_train_202312.csv,2023-12,WEEKDAY,10,TRAIN,CC20,4612,2995
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,10,TRAIN,CC20,3242,2649
transport_node_train_202312.csv,2023-12,WEEKDAY,21,TRAIN,EW25,4129,12060
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,21,TRAIN,EW25,3038,6494
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,16,TRAIN,CC2,2945,2815
transport_node_train_202312.csv,2023-12,WEEKDAY,16,TRAIN,CC2,5750,3556
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,14,TRAIN,CC12,2752,2832
transport_node_train_202312.csv,2023-12,WEEKDAY,14,TRAIN,CC12,3970,4227
transport_node_train_202312.csv,2023-12,WEEKDAY,16,TRAIN,NS20,56872,25858
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,16,TRAIN,NS20,18944,14457
transport_node_train_202312.csv,2023-12,WEEKDAY,16,TRAIN,NS14,24397,27213
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,16,TRAIN,NS14,17601,14603
transport_node_train_202312.csv,2023-12,WEEKDAY,11,TRAIN,NS15,17216,11212
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,11,TRAIN,NS15,8166,3791
transport_node_train_202312.csv,2023-12,WEEKDAY,5,TRAIN,EW21/CC22,1978,918
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,5,TRAIN,EW21/CC22,506,107
transport_node_train_202312.csv,2023-12,WEEKDAY,11,TRAIN,BP4,2393,1118
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,11,TRAIN,BP4,1122,517
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,11,TRAIN,NS27/CE2/TE20,1661,2944
transport_node_train_202312.csv,2023-12,WEEKDAY,11,TRAIN,NS27/CE2/TE20,4370,4176
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,21130,13038
transport_node_train_202312.csv,2023-12,WEEKDAY,9,TRAIN,NS17/CC15,53917,27050
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,6,TRAIN,EW10,4950,1498
transport_node_train_202312.csv,2023-12,WEEKDAY,6,TRAIN,EW10,15164,3587
transport_node_train_202312.csv,2023-12,WEEKDAY,8,TRAIN,NS28,1719,3067
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,8,TRAIN,NS28,878,2040
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,7,TRAIN,EW33,3256,3383
transport_node_train_202312.csv,2023-12,WEEKDAY,7,TRAIN,EW33,11032,14616
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,18,TRAIN,BP12,1024,962
transport_node_train_202312.csv,2023-12,WEEKDAY,18,TRAIN,BP12,2322,5812
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,19064,539
transport_node_train_202312.csv,2023-12,WEEKDAY,0,TRAIN,EW14/NS26,542,122
transport_node_train_202312.csv,2023-12,WEEKDAY,0,TRAIN,CG2,148,207
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,0,TRAIN,CG2,127,97
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,16,TRAIN,NE5,6776,7864
transport_node_train_202312.csv,2023-12,WEEKDAY,16,TRAIN,NE5,12726,12171
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,11,TRAIN,NE16/STC,28002,19091
transport_node_train_202312.csv,2023-12,WEEKDAY,11,TRAIN,NE16/STC,43308,30065
