"station_code","stations","line","line_code","line_number","Score"
"EW21","Buona Vista","East West Line","EWL",21,0.341052635313075
"EW22","Dover","East West Line","EWL",22,0.146124424916028
"EW23","Clementi","East West Line","EWL",23,0.123763434668349
"EW24","Jurong East","East West Line","EWL",24,0.321440639941564
"EW25","Chinese Garden","East West Line","EWL",25,0.0978072696744792
"EW26","Lakeside","East West Line","EWL",26,0.124717739181371
"EW27","Boon Lay","East West Line","EWL",27,0.115524006355738
"EW28","Pioneer","East West Line","EWL",28,0.183646880523241
"EW29","Joo Koon","East West Line","EWL",29,0.0969332804657978
"EW30","Gul Circle","East West Line","EWL",30,0.0323110934885993
"EW31","Tuas Crescent","East West Line","EWL",31,0.0417614825126623
"EW32","Tuas West Road","East West Line","EWL",32,0.0670866476773823
"EW33","Tuas Link","East West Line","EWL",33,0.0887238894105808
"NE1","HarbourFront","North East Line","NEL",1,0.376628839283255
"NE3","Outram Park","North East Line","NEL",3,0.328382424155513
"NE4","Chinatown","North East Line","NEL",4,0.659012555257712
"NE5","Clarke Quay","North East Line","NEL",5,0.134984124688111
"NE6","Dhoby Ghaut","North East Line","NEL",6,0.342176498736393
"NE7","Little India","North East Line","NEL",7,0.31363505573182
"NE8","Farrer Park","North East Line","NEL",8,0.102737090068888
"NE9","Boon Keng","North East Line","NEL",9,0.105947129660187
"NE10","Potong Pasir","North East Line","NEL",10,0.11301550057622
"NE11","Woodleigh","North East Line","NEL",11,0.216421720888495
"NE12","Serangoon","North East Line","NEL",12,0.41023847377342
"NE13","Kovan","North East Line","NEL",13,0.161938755414241
"NE14","Hougang","North East Line","NEL",14,0.161528628120036
"NE15","Buangkok","North East Line","NEL",15,0.197111459476493
"NE16","Sengkang","North East Line","NEL",16,0.208373551742619
"NE17","Punggol","North East Line","NEL",17,0.100189631691991
"NE18","Punggol Coast","North East Line","NEL",18,0.0646221869771986
"NS1","Jurong East","North South Line","NSL",1,0.321440639941564
"NS2","Bukit Batok","North South Line","NSL",2,0.0901057709929175
"NS3","Bukit Gombak","North South Line","NSL",3,0.0601520818303742
"NS4","Choa Chu Kang","North South Line","NSL",4,0.103867846312806
"NS5","Yew Tee","North South Line","NSL",5,0.0646221869771986
"NS7","Kranji","North South Line","NSL",7,0.110757076406784
"NS8","Marsiling","North South Line","NSL",8,0.153029678841813
"NS9","Woodlands","North South Line","NSL",9,0.350997546049808
"NS10","Admiralty","North South Line","NSL",10,0.0990725760012616
"NS11","Sembawang","North South Line","NSL",11,0.105266613799131
"NS12","Canberra","North South Line","NSL",12,0.113599947132464
"NS13","Yishun","North South Line","NSL",13,0.144406807286083
"NS14","Khatib","North South Line","NSL",14,0.166880334106369
