"","Origin","walk_score"
"1","bencoolen",3.96035955198944
"2","bendemeer",1.42138568093116
"3","boonkeng",0.693147180559945
"4","brasbasah",4.83871401192009
"5","bugis",2.53417769879478
"6","chinatown",3.50655789731998
"7","cityhall",2.78966153654837
"8","clarkequay",1.84103051823484
"9","dakota",0.810930216216329
"10","dhobyghaut",2.56926901860605
"11","downtown",4.2642435990175
"12","esplanade",2.76699273673566
"13","fortcanning",0.860201265223111
"14","jalanbesar",2.69848075008606
"15","labradorpark",0.693147180559945
"16","lavender",0.728238500371215
"17","littleindia",0.693147180559945
"18","marinabay",1.70906775338294
"19","marinasouth",1.05605267424931
"20","marinasouthpier",1.05605267424931
"21","maxwell",3.37175018033585
"22","mountbatten",0.810930216216329
"23","napier",0.810930216216329
"24","orchardboulevard",0.810930216216329
"25","outrampark",1.42138568093116
"26","potongpasir",0.728238500371215
"27","promenade",0.810930216216329
"28","rafflesplace",2.66549058668341
"29","rochor",2.81910873787467
"30","shentonway",3.61861025826738
"31","somerset",0.728238500371215
"32","tanjongpagar",1.72722094809048
"33","telokayer",5.38596330778418
"34","telokblangah",0.693147180559945
"35","woodleigh",0.728238500371215
