"","join_station","mrt_score","bus_score","walk_score","score"
"1","admiralty",0,5.66296048013595,NA,0.0152008964639663
"2","aljunied",0,29.4056189291517,NA,0.0789325248461122
"3","angmokio",0,24.745291690712,NA,0.0664229634447543
"4","bartley",0,45.4301346481205,NA,0.121946599407233
"5","bayfront",2,57.6100193284594,NA,0.160776125578843
"6","bayshore",0,9.40096073158483,NA,0.0252346862111959
"7","beautyworld",0,13.3692234553359,NA,0.0358865618541826
"8","bedok",0,13.2366915630444,NA,0.0355308109037808
"9","bedoknorth",0,8.87738195465477,NA,0.0238292611147712
"10","bedokreservoir",0,11.3648893861428,NA,0.0305063945773888
"11","bencoolen",0,144.307180756939,3.96035955198944,0.394952295164806
"12","bendemeer",0,68.013333855181,1.42138568093116,0.185291200129909
"13","bishan",2,38.7907854562598,NA,0.110260282032711
"14","boonkeng",0,87.3648344687081,0.693147180559945,0.235839513597064
"15","boonlay",0,38.0181283472172,NA,0.102050797420708
"16","botanicgardens",2,62.3866317905345,NA,0.173597827538301
"17","braddell",0,35.0262123215024,NA,0.0940196967454868
"18","brasbasah",0,148.061339576876,4.83871401192009,0.406713557150193
"19","brighthill",0,13.0613386755666,NA,0.0350601169802477
"20","buangkok",0,14.583765211011,NA,0.0391467158926827
"21","bugis",2,368.445376573302,2.53417769879478,1
"22","bukitbatok",0,13.5437648248108,NA,0.0363550774469321
"23","bukitgombak",0,3.87120101090789,NA,0.0103913361155224
"24","bukitpanjang",0,33.8650793729489,NA,0.0909029061915401
"25","buonavista",2,38.591555046757,NA,0.109725494470984
"26","caldecott",2,40.8382730888934,NA,0.115756284984539
"27","canberra",0,4.15888308335967,NA,0.0111635515341568
"28","cashew",0,24.0381362816637,NA,0.0645247697005841
"29","changiairport",0,NA,NA,0
"30","chinatown",2,273.993273441805,3.50655789731998,0.748329738105621
"31","chinesegarden",0,19.4245822731279,NA,0.0521407601245566
"32","choachukang",0,17.9743936413239,NA,0.0482480670141954
"33","cityhall",2,285.531354045334,2.78966153654837,0.777926494781065
"34","clarkequay",0,200.690540922364,1.84103051823484,0.542236813207466
"35","clementi",0,6.35610766069589,NA,0.0170614883863258
"36","commonwealth",0,15.7188471794605,NA,0.0421935786672048
"37","dakota",0,49.4858928748086,0.810930216216329,0.134388159895359
"38","dhobyghaut",3,309.43560092593,2.56926901860605,0.844737037099634
"39","dover",0,14.6217578262762,NA,0.0392486982061859
"40","downtown",0,87.368606292311,4.2642435990175,0.242696620563162
"41","esplanade",0,145.228273691111,2.76699273673566,0.39513667225613
"42","eunos",0,28.2180557481249,NA,0.0757447884982201
"43","expo",2,16.4261684130578,NA,0.0502276843618532
"44","farrerpark",0,98.953167240855,NA,0.265616695593409
"45","farrerroad",0,16.1906023417451,NA,0.0434598953585155
"46","fortcanning",0,99.9231414251732,0.860201265223111,0.269869657638497
"47","gardensbythebay",0,6.93147180559945,NA,0.0186059192235947
"48","geylangbahru",0,17.3344909752828,NA,0.0465303975712199
"49","greatworld",0,58.3607836420848,NA,0.156655910421959
"50","gulcircle",0,0.693147180559945,NA,0.00186059192235947
"51","harbourfront",2,27.1647949512251,NA,0.079053022406233
"52","havelock",0,65.4098303281942,NA,0.175577431986708
"53","hawparvilla",0,15.3805720413535,NA,0.0412855579651824
"54","hillview",0,25.2916464632098,NA,0.0678895253885405
"55","hollandvillage",0,9.65194452670022,NA,0.0259083936645791
"56","hougang",0,23.9254527737969,NA,0.0642222971083264
"57","hume",0,13.1135567123161,NA,0.0352002841194967
"58","jalanbesar",0,100.734403440366,2.69848075008606,0.275571895910856
"59","jookoon",0,2.07944154167984,NA,0.00558177576707842
"60","jurongeast",2,31.2621684105832,NA,0.0900514657025227
"61","kakibukit",0,9.43699774259019,NA,0.0253314191612288
"62","kallang",0,53.7591065606156,NA,0.144303781686224
