"","station_code","stations","line","line_code","line_number","score","Reachable_Stations"
"11","CC9","Paya Lebar","Circle Line","CCL",9,0.185929453937761,"KALLANG MRT STATION (EW10)/ALJUNIED MRT STATION (EW9)/PAYA LEBAR MRT STATION (EW8)/EUNOS MRT STATION (EW7)/MACPHERSON MRT STATION (DT26)/MACPHERSON MRT STATION (CC10)/MACPHERSON MRT STATION/MATTAR MRT STATION (DT25)/UBI MRT STATION (DT27)/TAI SENG MRT STATION (CC11)/DAKOTA MRT STATION (CC8)/DAKOTA MRT STATION/MOUNTBATTEN MRT STATION (CC7)/MOUNTBATTEN MRT STATION/KEMBANGAN MRT STATION (EW6)/TANJONG KATONG MRT STATION (TE25)"
"12","CC10","MacPherson","Circle Line","CCL",10,0.213327641214258,"KAKI BUKIT MRT STATION (DT28)/UBI MRT STATION (DT27)/TAI SENG MRT STATION (CC11)/BARTLEY MRT STATION (CC12)/BARTLEY MRT STATION/MACPHERSON MRT STATION (DT26)/PAYA LEBAR MRT STATION (CC9)/MACPHERSON MRT STATION (CC10)/PAYA LEBAR MRT STATION (EW8)/MATTAR MRT STATION (DT25)/ALJUNIED MRT STATION (EW9)/DAKOTA MRT STATION (CC8)/DAKOTA MRT STATION/EUNOS MRT STATION (EW7)"
"13","CC11","Tai Seng","Circle Line","CCL",11,0.0802554883319611,"POTONG PASIR MRT STATION (NE10)/KIM CHUAN UNDERGROUND MRT DEPOT/POTONG PASIR MRT STATION/ALJUNIED MRT STATION (EW9)/MATTAR MRT STATION (DT25)/BARTLEY MRT STATION (CC12)/BARTLEY MRT STATION/MACPHERSON MRT STATION (DT26)/MACPHERSON MRT STATION (CC10)/UBI MRT STATION (DT27)/MACPHERSON MRT STATION/PAYA LEBAR MRT STATION (CC9)/PAYA LEBAR MRT STATION (EW8)/SERANGOON MRT STATION (NE12)"
"14","CC12","Bartley","Circle Line","CCL",12,0.122321850234776,"MACPHERSON MRT STATION (DT26)/MACPHERSON MRT STATION (CC10)/SERANGOON MRT STATION (CC13)/TAI SENG MRT STATION (CC11)/BARTLEY MRT STATION (CC12)/SERANGOON MRT STATION (NE12)/MACPHERSON MRT STATION/SERANGOON MRT STATION/KOVAN MRT STATION (NE13)/KOVAN MRT STATION/WOODLEIGH MRT STATION (NE11)/WOODLEIGH MRT STATION"
"15","CC13","Serangoon","Circle Line","CCL",13,0.196545680898056,"SERANGOON MRT STATION (CC13)/WOODLEIGH MRT STATION (NE11)/SERANGOON MRT STATION (NE12)/WOODLEIGH MRT STATION/POTONG PASIR MRT STATION (NE10)/KOVAN MRT STATION/POTONG PASIR MRT STATION/LORONG CHUAN MRT STATION (CC14)/LORONG CHUAN MRT STATION/KOVAN MRT STATION (NE13)/BARTLEY MRT STATION (CC12)/BARTLEY MRT STATION"
"16","CC14","Lorong Chuan","Circle Line","CCL",14,0.06537418647718,"LORONG CHUAN MRT STATION (CC14)/SERANGOON MRT STATION (CC13)/SERANGOON MRT STATION (NE12)/SERANGOON MRT STATION/WOODLEIGH MRT STATION (NE11)/WOODLEIGH MRT STATION"
"17","CC15","Bishan","Circle Line","CCL",15,0.107522398671568,"BISHAN MRT STATION (CC15)/BISHAN MRT STATION (NS17)/BRADDELL MRT STATION (NS18)/BRADDELL MRT STATION/UPPER THOMSON MRT STATION (TE8)/MARYMOUNT MRT STATION (CC16)/ANG MO KIO MRT STATION (NS16)/ANG MO KIO MRT STATION/LORONG CHUAN MRT STATION (CC14)"
"18","CC16","Marymount","Circle Line","CCL",16,0.0593530039811603,"CALDECOTT MRT STATION (TE9)/BISHAN MRT STATION (CC15)/BISHAN MRT STATION (NS17)/CALDECOTT MRT STATION (CC17)/BISHAN MRT STATION/CALDECOTT MRT STATION/BRADDELL MRT STATION (NS18)/BRADDELL MRT STATION/UPPER THOMSON MRT STATION (TE8)/MOUNT PLEASANT MRT STATION (TE10)/BRIGHT HILL MRT STATION (TE7)"
"19","CC17","Caldecott","Circle Line","CCL",17,0.113035313777289,"CALDECOTT MRT STATION (TE9)/CALDECOTT MRT STATION (CC17)/MARYMOUNT MRT STATION (CC16)/MOUNT PLEASANT MRT STATION (TE10)/BRADDELL MRT STATION (NS18)/NOVENA MRT STATION (NS20)/BRADDELL MRT STATION/TOA PAYOH MRT STATION (NS19)/UPPER THOMSON MRT STATION (TE8)"
"20","CC19","Botanic Gardens","Circle Line","CCL",19,0.171054844785138,"BOTANIC GARDENS MRT STATION (CC19)/BOTANIC GARDENS MRT STATION (DT9)/STEVENS MRT STATION (DT10)/STEVENS MRT STATION (TE11)/TAN KAH KEE MRT STATION (DT8)/TAN KAH KEE MRT STATION/FARRER ROAD MRT STATION (CC20)/NEWTON MRT STATION (DT11)/NEWTON MRT STATION (NS21)/NEWTON MRT STATION/SIXTH AVENUE MRT STATION (DT7)/SIXTH AVENUE MRT STATION."
"21","CC20","Farrer Road","Circle Line","CCL",20,0.0435936289909209,"BOTANIC GARDENS MRT STATION (CC19)/COMMONWEALTH MRT STATION (EW20)/BOTANIC GARDENS MRT STATION (DT9)/BOTANIC GARDENS MRT STATION/HOLLAND VILLAGE MRT STATION (CC21)/TAN KAH KEE MRT STATION (DT8)/TAN KAH KEE MRT STATION/NAPIER MRT STATION (TE12)/STEVENS MRT STATION (DT10)/STEVENS MRT STATION (TE11)"
"22","CC21","Holland Village","Circle Line","CCL",21,0.0259881182834713,"ONE-NORTH MRT STATION (CC23)/BUONA VISTA MRT STATION (EW21)/BUONA VISTA MRT STATION (CC22)/BUONA VISTA MRT STATION/FARRER ROAD MRT STATION (CC20)/COMMONWEALTH MRT STATION (EW20)/DOVER MRT STATION (EW22)/KENT RIDGE MRT STATION (CC24)"
