"","Station_Name","longitude","latitude"
"1","admiralty",103.800990519771,1.44058856161847
"2","aljunied",103.882906044385,1.3164326118157
"3","ang mo kio",103.849558092048,1.36993284962263
"4","bartley",103.880187493151,1.34247330817248
"5","bayfront",103.859079764874,1.28187378879209
"6","bayshore",103.942309776767,1.31312248291264
"7","beauty world",103.775770501431,1.34106233279989
"8","bedok",103.929984495066,1.32397996868158
"9","bedok north",103.91797832995,1.33474211664091
"10","bedok reservoir",103.932234623286,1.33660782955099
"11","bencoolen",103.850353762717,1.29891843369422
"12","bendemeer",103.862977620945,1.31367252847691
"13","bishan",103.849113812823,1.35105789569746
"14","boon keng",103.861811076301,1.31963764287903
"15","boon lay",103.705344366819,1.33835125131313
"16","botanic gardens",103.81546132266,1.32232960055196
"17","braddell",103.846777502098,1.34028710399602
"18","bras basah",103.850667371637,1.29686168649656
"19","bright hill",103.832893619992,1.36328318545185
"20","buangkok",103.893086275512,1.38328209585833
"21","bugis",103.856038545455,1.30012709093873
"22","bukit batok",103.749566478309,1.34903331201636
"23","bukit gombak",103.751790910733,1.35861159094192
"24","bukit panjang",103.761361990591,1.37928166438825
"25","buona vista",103.790442039688,1.30671118682899
"26","caldecott",103.839745548404,1.33742206999921
"27","canberra",103.829702590959,1.44307664075699
"28","cashew",103.76437713288,1.36983073145647
"29","changi airport",103.98788356959,1.35747897447692
"30","chinatown",103.843904142069,1.28418252128399
"31","chinese garden",103.732596738363,1.34235282081401
"32","choa chu kang",103.744227844624,1.38536581766186
"33","city hall",103.852564105352,1.29296331464351
"34","clarke quay",103.846337201211,1.28791906911695
"35","clementi",103.765191452888,1.31511625277378
"36","commonwealth",103.798228523336,1.30250199924325
"37","dakota",103.8891664634,1.30848971359792
"38","dhoby ghaut",103.845964909151,1.29910585006666
"39","dover",103.778637841909,1.31140529320963
"40","downtown",103.852840829581,1.27944638178916
"41","esplanade",103.855081226245,1.2936577245386
"42","eunos",103.903225807255,1.31978354916088
"43","expo",103.961961479235,1.33496615219886
"44","farrer park",103.854116218926,1.31252293644469
"45","farrer road",103.807379214161,1.31743915158967
"46","fort canning",103.844331362465,1.29248194822996
"47","gardens by the bay",103.867454664421,1.27848725876303
"48","geylang bahru",103.871622627142,1.32130110228321
"49","great world",103.833720837731,1.29394816169384
"50","gul circle",103.660530461345,1.31947090075208
"51","harbourfront",103.821043736895,1.26535039116683
"52","havelock",103.833585838226,1.28850523975311
"53","haw par villa",103.7818708576,1.28226412228693
"54","hillview",103.767599580857,1.36261666259363
"55","holland village",103.796399122407,1.31224029631595
"56","hougang",103.892321135483,1.37081349524979
"57","hume",103.769118851887,1.3545953239503
"58","jalan besar",103.855295713435,1.3051713878069
"59","joo koon",103.678374996165,1.3277170408447
"60","jurong east",103.742089804833,1.33308301260948
"61","kaki bukit",103.908459338046,1.33496735995428
"62","kallang",103.871386541754,1.31148890998818
"63","katong park",103.886178949925,1.29783147778951
"64","kembangan",103.912947930851,1.3210381335934
"65","kent ridge",103.784572738173,1.29353349887123
"66","khatib",103.832979908243,1.41738337009565
"67","king albert park",103.783317488337,1.33577755445007
"68","kovan",103.884779790775,1.36004054509106
"69","kranji",103.762137459497,1.42508698073648
"70","labrador park",103.803023905427,1.27231128188304
"71","lakeside",103.720949087456,1.34425911493819
"72","lavender",103.862776121951,1.307384848201
"73","lentor",103.835743809669,1.38550657972169
"74","little india",103.849383202985,1.30702076023279
"75","lorong chuan",103.864482054083,1.3515717284807
"76","macpherson",103.889899255522,1.32635582620504
"77","marina bay",103.854989205458,1.27592865976917
"78","marina south pier",103.862447515736,1.27102703612006
"79","marine parade",103.904983086812,1.30261163483383
"80","marine terrace",103.9151067005,1.30666510344814
"81","marsiling",103.774074641403,1.43252114855026
"82","marymount",103.839423132332,1.348707263451
"83","mattar",103.883247509542,1.32687671501334
"84","maxwell",103.843883670633,1.28053329842878
"85","mayflower",103.836567766945,1.37146318831015
"86","mountbatten",103.882786614874,1.30617798327122
"87","napier",103.818956796815,1.30678223364785
"88","newton",103.837910254109,1.31296070078714
"89","nicoll highway",103.86363696572,1.29976684675139
"90","novena",103.843825618748,1.32044079120154
"91","one-north",103.78745750525,1.29975987493555
"92","orchard",103.831810122221,1.30351219973454
"93","orchard boulevard",103.823868523249,1.30242224836722
"94","outram park",103.83944012489,1.28067420461945
"95","pasir panjang",103.791350313288,1.27621352233766
"96","pasir ris",103.949284527763,1.37304331635804
"97","paya lebar",103.89266076273,1.31767943882438
"98","pioneer",103.697321608474,1.33758701106708
"99","potong pasir",103.869209602261,1.3313787877508
"100","promenade",103.860620900107,1.29344487009764
"101","punggol",103.902072622229,1.40454653668991
"102","punggol coast",103.910166388177,1.41492733388605
"103","queenstown",103.806077155982,1.29455085184931
"104","raffles place",103.851462389277,1.28402943639098
"105","redhill",103.81674097205,1.28963453412887
"106","rochor",103.852769428884,1.30385218527656
"107","sembawang",103.820046140211,1.44905082158502
"108","sengkang",103.895484694279,1.39169462601522
"109","serangoon",103.872472309171,1.350463261932
"110","shenton way",103.850367596067,1.2777168283425
"111","siglap",103.930025826708,1.31000869432289
