"station_code","stations","line","line_code","line_number","join_station","is_interchange","avg_bus_score","avg_walk_score","Score","Reachable_Stations","Reachable_Count","MRT_Score","avg_mrt_score"
"CC9","Paya Lebar","Circle Line","CCL",9,"payalebar",1,0.513855925885902,0,0.45277118517718,NA,0,0,0
"CC10","MacPherson","Circle Line","CCL",10,"macpherson",1,0.551148709999841,0,0.501896408666635,"KAKI BUKIT MRT STATION (DT28)/UBI MRT STATION (DT27)/TAI SENG MRT STATION (CC11)/BARTLEY MRT STATION (CC12)/BARTLEY MRT STATION/MACPHERSON MRT STATION (DT26)/PAYA LEBAR MRT STATION (CC9)/MACPHERSON MRT STATION (CC10)/PAYA LEBAR MRT STATION (EW8)/MATTAR MRT STATION (DT25)/ALJUNIED MRT STATION (EW9)/DAKOTA MRT STATION (CC8)/DAKOTA MRT STATION/EUNOS MRT STATION (EW7)",14,0.291666666666667,0.277777777777778
"CC11","Tai Seng","Circle Line","CCL",11,"taiseng",0,0.473775669461143,0,0.0947551338922285,NA,0,0,0
"CC12","Bartley","Circle Line","CCL",12,"bartley",0,0.484990068201195,0,0.134498013640239,"MACPHERSON MRT STATION (DT26)/MACPHERSON MRT STATION (CC10)/SERANGOON MRT STATION (CC13)/TAI SENG MRT STATION (CC11)/BARTLEY MRT STATION (CC12)/SERANGOON MRT STATION (NE12)/MACPHERSON MRT STATION/SERANGOON MRT STATION/KOVAN MRT STATION (NE13)/KOVAN MRT STATION/WOODLEIGH MRT STATION (NE11)/WOODLEIGH MRT STATION",12,0.25,0.25
"CC13","Serangoon","Circle Line","CCL",13,"serangoon",1,0.537303479978212,0,0.496002362662309,"SERANGOON MRT STATION (CC13)/WOODLEIGH MRT STATION (NE11)/SERANGOON MRT STATION (NE12)/WOODLEIGH MRT STATION/POTONG PASIR MRT STATION (NE10)/KOVAN MRT STATION/POTONG PASIR MRT STATION/LORONG CHUAN MRT STATION (CC14)/LORONG CHUAN MRT STATION/KOVAN MRT STATION (NE13)/BARTLEY MRT STATION (CC12)/BARTLEY MRT STATION",12,0.25,0.256944444444444
"CC14","Lorong Chuan","Circle Line","CCL",14,"lorongchuan",0,0.46880691865077,0,0.093761383730154,NA,0,0,0
"CC15","Bishan","Circle Line","CCL",15,"bishan",1,0.397780235023676,0,0.458722713671402,"BISHAN MRT STATION (CC15)/BISHAN MRT STATION (NS17)/BRADDELL MRT STATION (NS18)/BRADDELL MRT STATION/UPPER THOMSON MRT STATION (TE8)/MARYMOUNT MRT STATION (CC16)/ANG MO KIO MRT STATION (NS16)/ANG MO KIO MRT STATION/LORONG CHUAN MRT STATION (CC14)",9,0.1875,0.194444444444444
"CC16","Marymount","Circle Line","CCL",16,"marymount",0,0.480564095511636,0,0.130487819102327,"CALDECOTT MRT STATION (TE9)/BISHAN MRT STATION (CC15)/BISHAN MRT STATION (NS17)/CALDECOTT MRT STATION (CC17)/BISHAN MRT STATION/CALDECOTT MRT STATION/BRADDELL MRT STATION (NS18)/BRADDELL MRT STATION/UPPER THOMSON MRT STATION (TE8)/MOUNT PLEASANT MRT STATION (TE10)/BRIGHT HILL MRT STATION (TE7)",11,0.229166666666667,0.229166666666667
"CC17","Caldecott","Circle Line","CCL",17,"caldecott",1,0.459197062273348,0,0.46996441245467,"CALDECOTT MRT STATION (TE9)/CALDECOTT MRT STATION (CC17)/MARYMOUNT MRT STATION (CC16)/MOUNT PLEASANT MRT STATION (TE10)/BRADDELL MRT STATION (NS18)/NOVENA MRT STATION (NS20)/BRADDELL MRT STATION/TOA PAYOH MRT STATION (NS19)/UPPER THOMSON MRT STATION (TE8)",9,0.1875,0.1875
"CC19","Botanic Gardens","Circle Line","CCL",19,"botanicgardens",1,0.518236029023943,0,0.453647205804789,NA,0,0,0
